Player Name,X Location,Y Location,Shot Made Flag
Jamal Murray,-4,32,0
Jamal Murray,112,68,0
Jamal Murray,-8,38,0
Jamal Murray,-70,250,1
Jamal Murray,-24,89,0
Jamal Murray,-228,5,1
Jamal Murray,232,63,0
Jamal Murray,-105,55,0
Jamal Murray,146,206,0
Jamal Murray,-96,57,0
Jamal Murray,-231,4,1
Jamal Murray,65,176,1
Jamal Murray,10,16,0
Jamal Murray,4,263,0
Jamal Murray,-209,120,0
Jamal Murray,130,30,0
Jamal Murray,-176,173,1
Jamal Murray,27,11,1
Jamal Murray,143,239,0
Jamal Murray,-36,192,0
Jamal Murray,-3,9,1
Jamal Murray,25,24,0
Jamal Murray,10,11,0
Jamal Murray,52,169,1
Jamal Murray,-23,15,0
Jamal Murray,136,212,0
Jamal Murray,-67,113,1
Jamal Murray,-122,71,0
Jamal Murray,-28,20,0
Jamal Murray,-11,20,1
Jamal Murray,-207,141,1
Jamal Murray,141,164,1
Jamal Murray,-96,67,0
Jamal Murray,225,104,0
Jamal Murray,-141,63,1
Jamal Murray,58,164,0
Jamal Murray,226,25,0
Jamal Murray,11,226,0
Jamal Murray,157,196,0
Jamal Murray,-128,209,1
Jamal Murray,133,221,1
Jamal Murray,-151,195,0
Jamal Murray,14,8,1
Jamal Murray,0,5,1
Jamal Murray,-188,162,0
Jamal Murray,149,6,0
Jamal Murray,-134,180,1
Jamal Murray,76,183,1
Jamal Murray,212,118,0
Jamal Murray,-68,64,1
Jamal Murray,13,17,0
Jamal Murray,72,147,1
Jamal Murray,-19,41,1
Jamal Murray,-13,48,1
Jamal Murray,-103,79,1
Jamal Murray,-116,132,1
Jamal Murray,-151,188,0
Jamal Murray,187,164,0
Jamal Murray,-13,8,0
Jamal Murray,-123,206,0
Jamal Murray,7,1,0
Jamal Murray,-141,116,0
Jamal Murray,46,141,0
Jamal Murray,12,-1,1
Jamal Murray,-59,-7,1
Jamal Murray,-90,236,0
Jamal Murray,65,163,1
Jamal Murray,-70,-1,0
Jamal Murray,179,188,0
Jamal Murray,105,21,1
Jamal Murray,-3,22,1
Jamal Murray,-100,246,1
Jamal Murray,-125,107,0
Jamal Murray,-28,258,0
Jamal Murray,-76,146,1
Jamal Murray,-220,165,1
Jamal Murray,220,134,1
Jamal Murray,-54,139,0
Jamal Murray,43,130,0
Jamal Murray,-128,127,0
Jamal Murray,-73,183,0
Jamal Murray,1,10,1
Jamal Murray,-25,15,1
Jamal Murray,-228,24,0
Jamal Murray,-46,71,0
Jamal Murray,74,168,0
Jamal Murray,-52,111,1
Jamal Murray,66,182,0
Jamal Murray,13,11,1
Jamal Murray,-52,151,1
Jamal Murray,-44,188,1
Jamal Murray,75,147,0
Jamal Murray,-95,165,0
Jamal Murray,212,130,0
Jamal Murray,-16,16,1
Jamal Murray,19,49,1
Jamal Murray,-110,228,1
Jamal Murray,-44,31,0
Jamal Murray,130,95,0
Jamal Murray,25,13,0
Jamal Murray,-11,68,1
Jamal Murray,16,17,1
Jamal Murray,6,51,1
Jamal Murray,-157,125,1
Jamal Murray,142,1,0
Jamal Murray,-82,152,0
Jamal Murray,-4,26,1
Jamal Murray,-150,9,1
Jamal Murray,-18,-4,1
Jamal Murray,19,200,1
Jamal Murray,-68,103,1
Jamal Murray,-13,84,0
Jamal Murray,0,-6,0
Jamal Murray,-116,110,1
Jamal Murray,-168,195,1
Jamal Murray,-137,160,1
Jamal Murray,58,242,0
Jamal Murray,29,173,0
Jamal Murray,-116,228,0
Jamal Murray,0,10,0
Jamal Murray,-39,39,1
Jamal Murray,-3,21,1
Jamal Murray,-2,53,1
Jamal Murray,-175,179,1
Jamal Murray,43,164,1
Jamal Murray,-225,79,1
Jamal Murray,59,149,1
Jamal Murray,-138,207,0
Jamal Murray,145,212,1
Jamal Murray,81,144,0
Jamal Murray,108,237,0
Jamal Murray,-159,136,0
Jamal Murray,-223,-9,0
Jamal Murray,-5,14,0
Jamal Murray,166,192,0
Jamal Murray,-38,152,0
Jamal Murray,-38,37,0
Jamal Murray,52,78,0
Jamal Murray,-156,43,0
Jamal Murray,71,178,0
Jamal Murray,-169,30,0
Jamal Murray,-3,5,1
Jamal Murray,138,88,1
Jamal Murray,48,20,0
Jamal Murray,111,212,0
Jamal Murray,161,191,0
Jamal Murray,14,1,1
Jamal Murray,-27,40,0
Jamal Murray,24,61,1
Jamal Murray,-64,103,0
Jamal Murray,-37,122,0
Jamal Murray,-124,15,0
Jamal Murray,-25,111,1
Jamal Murray,66,50,1
Jamal Murray,-105,224,0
Jamal Murray,-221,-1,0
Jamal Murray,52,187,1
Jamal Murray,12,5,0
Jamal Murray,25,24,0
Jamal Murray,88,243,1
Jamal Murray,19,248,0
Jamal Murray,-195,155,0
Jamal Murray,-58,247,0
Jamal Murray,-97,113,0
Jamal Murray,-32,23,0
Jamal Murray,-54,144,0
Jamal Murray,32,12,0
Jamal Murray,51,173,0
Jamal Murray,-166,210,1
Jamal Murray,9,18,1
Jamal Murray,95,103,1
Jamal Murray,98,15,1
Jamal Murray,-84,152,0
Jamal Murray,25,264,0
Jamal Murray,-164,206,1
Jamal Murray,-1,-9,1
Jamal Murray,182,-14,0
Jamal Murray,218,111,0
Jamal Murray,42,62,0
Jamal Murray,-7,13,1
Jamal Murray,-7,11,1
Jamal Murray,14,262,1
Jamal Murray,-9,154,1
Jamal Murray,-5,72,0
Jamal Murray,79,240,1
Jamal Murray,-117,236,0
Jamal Murray,-76,235,0
Jamal Murray,-47,19,0
Jamal Murray,-119,226,1
Jamal Murray,160,218,0
Jamal Murray,160,194,1
Jamal Murray,-187,176,1
Jamal Murray,-36,247,1
Jamal Murray,-128,215,0
Jamal Murray,119,153,0
Jamal Murray,-27,49,0
Jamal Murray,-145,232,0
Jamal Murray,-122,134,0
Jamal Murray,-206,154,1
Jamal Murray,-14,20,0
Jamal Murray,-133,102,0
Jamal Murray,-16,14,1
Jamal Murray,-11,41,1
Jamal Murray,-198,140,0
Jamal Murray,-4,79,0
Jamal Murray,-146,194,0
Jamal Murray,-37,73,0
Jamal Murray,-225,30,0
Jamal Murray,-225,117,0
Jamal Murray,9,171,1
Jamal Murray,165,194,1
Jamal Murray,111,167,0
Jamal Murray,-5,-6,1
Jamal Murray,-162,198,0
Jamal Murray,-12,23,1
Jamal Murray,36,159,1
Jamal Murray,74,132,0
Jamal Murray,122,235,0
Jamal Murray,-70,102,0
Jamal Murray,-119,233,1
Jamal Murray,-28,37,0
Jamal Murray,41,252,0
Jamal Murray,44,37,1
Jamal Murray,-147,164,1
Jamal Murray,31,13,0
Jamal Murray,119,168,1
Jamal Murray,62,253,0
Jamal Murray,30,242,1
Jamal Murray,25,13,0
Jamal Murray,-42,158,1
Jamal Murray,-5,248,1
Jamal Murray,0,10,1
Jamal Murray,-33,261,0
Jamal Murray,-4,163,1
Jamal Murray,203,143,1
Jamal Murray,94,180,1
Jamal Murray,131,136,0
Jamal Murray,-62,83,0
Jamal Murray,-221,56,0
Jamal Murray,27,251,0
Jamal Murray,222,11,0
Jamal Murray,-72,94,1
Jamal Murray,109,225,0
Jamal Murray,-128,222,1
Jamal Murray,-121,75,0
Jamal Murray,-166,242,0
Jamal Murray,-25,13,0
Jamal Murray,-56,117,1
Jamal Murray,2,12,1
Jamal Murray,-95,91,0
Jamal Murray,-152,128,1
Jamal Murray,-8,258,0
Jamal Murray,3,7,1
Jamal Murray,-2,8,1
Jamal Murray,98,269,0
Jamal Murray,105,179,1
Jamal Murray,16,17,0
Jamal Murray,19,-1,0
Jamal Murray,2,-4,1
Jamal Murray,-172,194,0
Jamal Murray,-174,186,0
Jamal Murray,211,125,1
Jamal Murray,-57,37,0
Jamal Murray,164,198,0
Jamal Murray,-169,168,0
Jamal Murray,11,-5,1
Jamal Murray,-47,108,1
Jamal Murray,-2,-1,1
Jamal Murray,-14,16,0
Jamal Murray,20,135,1
Jamal Murray,-92,110,0
Jamal Murray,-14,14,0
Jamal Murray,-63,71,1
